authors,category,content,date,id,img_src,section,tags,title,topics,url
Lucas Matney,Mobile,"YouTube has started rolling out a “Breaking News” section in people’s feeds today across platforms as Alphabet continues to tailor custom content playlists to users logged into Google Accounts, Android Police reports.
For most, YouTube is a place to hop from one video to the next and descend down rabbit holes, but browsing anything like a feed has become less straightforward than other platforms, which makes the breaking news section an interesting addition.

As the video sharing site has grown older, the content has grown more produced with YouTube personalities mounting “celebrity” careers, while commentary-heavy videos grow in popularity over the raw video that is more common on Facebook and Twitter.
For YouTube’s part this has grown to be a very valuable distinction. While Facebook’s has seen its video views increase heavily by way of quick-and-dirty videos, YouTube seems to be somewhere where people invest major time browsing, even if there seems to be just as much noise. In June, YouTube CEO Susan Wojcicki announced that the site had 1.5 billion watching an hour of video each on mobile alone.
Breaking news may initially seem to be a bit of an unusual direction for the site, but as Google works on courting publishers through special programs with AMP, it may be interesting to see how YouTube treats partnerships with 24-hour broadcast news publishers who already put a lot of content on the site.
Today, my “breaking news” tab had a lot of news on Bannon’s exit from the White House. Most of the stuff was an hour or two old, so it’s not BREAKING quite as much as other locations but it offers a chance to see stories evolve on YouTube in a much more packaged way. For now  it seems that YouTube is mostly turning to traditional networks as the sources. Going with established media might be a more straight-forward start but it will be interesting to see how much it adjusts to people’s viewing habits and whether more bombastic YouTube personalities find their way into the tab sharing their thoughts on the day’s latest news and begging you to like and subscribe for more.",2017-08-18,1528781,https://tctechcrunch2011.files.wordpress.com/2017/04/youtube-ios.jpg?w=738,mobile/,,YouTube starts delivering ‘breaking news’ on its homepage across platforms,"google,youtube",https://techcrunch.com/2017/08/18/youtube-starts-delivering-breaking-news-on-its-homepage-across-platforms/
Josh Constine,Apps,"Should your parents be able to read your Facebook messages if you die? Facebook explained why it won’t let them in a post in its Hard Questions series today about social networking after death.
Facebook admits it doesn’t have all the answers, but it has come up with some decent solutions to some issues with what it calls Memorialized Profiles and a “Legacy Contact.” When you pass away, once Facebook is informed, the word “Remembering” appears above your name on your profile and no one else can sign in to your account.

The Legacy Contact is a friend you select in your Manage Account Settings while you’re still alive, though they’re not informed until your profile is memorialized. They can pin a post atop your profile, change your profile pic, respond to friend requests or have your account removed. But Facebook explains they can’t log into your account, change or delete old posts, remove friends or read your messages.
Similarly, Facebook won’t allow parents or anyone else to read your messages after you die. That’s because “In a private conversation between two people, we assume that both people intended the messages to remain private,” writes Monika Bickert, Facebook’s Director of Global Policy Management. The Electronic Communications Privacy Act and Stored Communications Act may also prohibit it from sharing private communications even with parental consent.
Facebook also tries to minimize the emotional impact of losing a loved one by no longer sending birthday reminders about writing on their wall. But there are still plenty of opportunities for hurt feelings. Facebook’s On This Day feature and others can surface old content from when that person was still alive, creating an unexpected experience of having to think about their death.

The company has built features to enhance empathy with its users, allowing them to avoid unnecessarily seeing their exes on the app after a break-up. But it’s tough to know what will be a sweet nostalgic reminder and what will be a heart-wrenching spiral into the past.
What’s important is that Facebook is at least thinking and talking about these issues. Now at 2 billion users, Facebook has become a ubiquitous utility that impacts every phase of our lives. “There’s a deep sense of responsibility in every part of the company,” says Facebook CPO Chris Cox. “We’re getting to the scale where we have to get much better about understanding how the product has been used.”",2017-08-18,1528526,https://tctechcrunch2011.files.wordpress.com/2017/08/what-happens-on-facebook-when-you-die.png?w=738,mobile/,,How Facebook prioritizes privacy when you die,facebook,https://techcrunch.com/2017/08/18/facebook-after-death/
Darrell Etherington,Mobile,"Google is using a astronomical event to debut its newest Android operating system update: Android O is set to arrive on August 21, with a livestreamed unveiling event timed for 2:40 PM ET in NYC – which is roughly when the maximum solar eclipse is set to occur for New York.
Android O will get a full reveal at that time, which seems like kind of a weird time to do it since a lot of people will be watching the NASA eclipse livestream that Google is also promoting, or staring at the sky (with the caveat, hopefully, that they have procured proper glasses for safe viewing).
Google says that Android O will have some “super (sweet) new powers,” most of which we know all about thanks to pre-release builds and the Android O teaser Google provided at its annual I/O developer event this past May. WE know, for instance, that the notification panel has been changed significantly, and there’s new optimization software to improve battery life on all devices.
Also, it looks like it’s all but confirmed that the official consumer name of Android O will be ‘Oreo,’ as has long been speculated. Google always names its Android releases after sweet treats, and O seems like a no-brainer for the iconic cookie. Also, prolific leaker Evan Blass also posted this on Friday following the announcement of the reveal date and event:",2017-08-18,1528522,https://tctechcrunch2011.files.wordpress.com/2017/08/oreo-android-o.png?w=738,mobile/,,Google to livestream Android O launch event timed for total solar eclipse,"android,google",https://techcrunch.com/2017/08/18/google-to-livestream-android-o-launch-event-timed-for-total-solar-eclipse/
Romain Dillet,Apps,"Instagram inception, here we come. If somebody sends you a photo or video in a private conversation on Instagram, the app will now let you play around with the original photo so that you can reply in a creative way and keep the context of the conversation.
If you receive a photo or video, there’s now a reply button in the conversation thread. If you tap on this button, the original photo is instantly turned into a sticker in the top right corner. You can leave it there and reply with some context
But you can also move it around, tilt it and draw around it. If you’re replying to a video, it looks like Instagram only keeps a screenshot of the first frame.
If you tap on it, the original photo fills the top half of the screen. You can then take a selfie for the bottom half of the photo. It reminds me of Frontback, a photo-sharing app that lets you take a photo of what you have in front of you, and a photo of your reaction with a selfie. Instagram works the same way as it features both the context and your reaction.
The comparison stops there as you can still apply filters, draw on your photo, add stickers, write text and use all those creative tools together. Your reaction doesn’t have to be a photo either. You can record a video, a boomerang, use a selfie filter and more.
More importantly, this new reply mode isn’t limited to direct messages. If you’re watching a story, you can either send a text reply by tapping on the text field at the bottom of the screen, or you can send a photo/video reply by tapping on the camera icon at the bottom left of the screen. And that makes a lot of sense as you want to know the context when somebody is replying to part of your story.
",2017-08-18,1528366,https://tctechcrunch2011.files.wordpress.com/2017/08/reply-2-en.png?w=738,mobile/,,Instagram adds a new creative way to reply to a photo or story,instagram,https://techcrunch.com/2017/08/18/instagram-adds-a-new-creative-way-to-reply-to-a-photo-or-story/
Sarah Buhr,Diversity,"TouchID has always been a legal grey area when it came to cops and border patrol asking you to fork over your phone. But, with the new update in iOS 11, that no longer seems to be a problem.
The new feature is being referred to in some circles as a “cop button” because it allows the iPhone owner to set up a provision in the update allowing you to choose whether to keep TouchID on or not. This allows travelers and people who tend to get harassed by police more often — or just anyone concerned with privacy and security — to set their phone up using a long, complex password, thus locking out cops and anyone who doesn’t know the passphrase.
Currently, police can force you to use your fingerprint to unlock the phone, but they can’t force you to use your password — something that has been proven by law to be protected.
As Twitter user @alt_kia pointed out, to unlock the phone you press the power button rapidly five times and it will open a second screen, while also forcing anyone with the phone to use the longer passphrase to unlock it.
This process is especially useful in an emergency situation where you need to unlock the phone and call 911. As noted in Engadget, the option to call for help will pop up after you push the power button five times.
Of course, the process isn’t easy for those wishing to use it for privacy reasons, and you might get fatigued constantly unlocking it this way. However, it’s a good way to keep what’s on your phone to yourself.",2017-08-17,1528288,https://tctechcrunch2011.files.wordpress.com/2017/08/10575772326_af7e69b7dd_k-1.jpg?w=738,mobile/,"cops,ios",An iOS 11 feature could let you quickly disable TouchID and keep cops out,apple,https://techcrunch.com/2017/08/17/an-ios-11-feature-could-let-you-quickly-disable-touchid-and-keep-cops-out/
Josh Constine,Apps,"Ever gotten tricked into clicking a fake play button on Facebook that opens a link instead of starting a video? I did, repeatedly, and wrote a story in 2014 titled “Yo Facebook, Ban Links With Fake Video Play Buttons”.
Now Facebook is doing just that. Today it started downranking the News Feed presence of links that display a fake play button in the preview image, as well as videos that are actually just a static image uploaded as a video file. Publishers who use these scammy tactics will see a major decrease in the distribution of these stories. Facebook won’t completely delete these posts, though, unless they violate its other policies.
Here are two examples of fake play buttons that spammers used to steal your clicks:

Facebook has prohibited the use of fake play buttons in advertisements under its policy against depicting non-existent functionality for a few years, News Feed Product Manager Greg Marra tells me. But the scourage has remained in the News Feed.
“We’ve heard from people who are frustrated by fake play buttons” Marra says, hence today’s update. “Spammers are using these tactics to trick people into clicking links to low quality web pages.Facebook tells me its now training its machine vision artificial intelligence to classify and detect fake play buttons in preview images.
“While the prevalence is statistically low, the frustration expressed by people who use Facebook who encounter these deceptive practices is high” a spokesperson tells me.
Facebook says that if publishers want to denote there’s a video behind a link, they should indicate that through Open Graph meta tags. They could also use words like “Watch” or “Video” in the headline or description.
 
Facebook has had a similar problem with publishers looping pre-recorded videos and calling them live, or just putting up a computer graphic countdown and calling it Live. TechCrunch called on Facebook to ban these shenanigans back in January, and it cracked down on them in May.
There’s also been the issue of publishers putting fake Instant Articles “Lightning Bolt” icons on the preview images of links to non-Instant Articles on the standard web. That’s because people are more likely to click Instant Articles since they load faster.
Meanwhile, Facebook’s emphasis on video in News Feed has inspired the new menace of publishers uploading a static image as a video to get more eyeballs. These static image videos will be downranked too. Facebook is using a “motion scoring” system that detects movement inside a video to classify and demote these clips.

Today’s changes come as part of a massive, multi-pronged atack on clickbait. Facebook now downranks headlines that are misleading or withhold information in many languages, shows fewer links overshared by spammers, works with outside fact checkers to demote false news, promotes iand now shows Related Articles with different angles to make people suspicious of exaggerated clickbait.
With each of these updates, Facebook chips away at the clickbait problem, leaving more room in the News Feed for legitimate content. Getting burned by trying to watch a video which is just endless minutes of the same image erodes trust in the News Feed, making people less likely to watch videos in the future.
By excising these annoying experiences, users may be willing to browse longer, view more videos from friends and publishers, and watch lucrative video ads that fund Facebook’s soaring profits.",2017-08-17,1528083,https://tctechcrunch2011.files.wordpress.com/2017/08/facebook-fake-video-play-buttons.png?w=738,mobile/,,Facebook downranks video clickbait and fake play buttons,facebook,https://techcrunch.com/2017/08/17/facebook-fake-play-buttons/
Darrell Etherington,Gadgets,"The Essential Phone has arrived, a bit later than originally announced. The first smartphone from the new company founded by Android creator Andy Rubin is now available to order, via Essential’s own site, Best Buy, and Sprint. The phone is still listed as a pre-order in all three spots, with shipping information to be conveyed later, but this is the closest people have been able to get to actually holding the device in their hands up until now.
Essential also began sending out notifications to early customers who had pre-registered to purchase the device. 9to5Google reported Wednesday that pre-registered users were receiving emails telling them to supply their payment information, and that once completed, their devices would begin shipping within seven days.
The Essential Phone features a nearly edge-to-edge display, and a standard 128GB of storage on board. It supports external accessories, including a 360-degree camera that Essential revealed at the same time as its phone. The Phone supports all major U.S. carriers, but it’s being sold exclusively via Sprint with a $260 discount at retail. Unlocked, it’s $699 from Essential.com, with a limited time offer to also get the 360 camera in a $749 bundle.
Essential’s smartphone is designed to be minimal in its approach to branding, and to other stuff that phone makers typically do to mess up the smartphone experience, like preloading apps and content, or recreating their own, substandard versions of stock Android apps. It’s also a premium device in terms of materials and design, and Essential is promising two years of Android OS updates and three years of security updates, too.
It sounds like the first Essential Phone customers will still have to wait a week or so to actually receive their devices, but this is a big milestone for Rubin’s company. Another premium smartphone maker entering the fray is also bound to make things a bit more interesting in the market, which has seemed to settle with Apple and Samsung ensconced firmly at the top.",2017-08-17,1528004,https://tctechcrunch2011.files.wordpress.com/2017/05/essential-phone1.jpg?w=738,mobile/,essential,"Essential Phone now available to order, ships soon to pre-sale customers",,https://techcrunch.com/2017/08/17/essential-phone-now-available-to-order-ships-soon-to-pre-sale-customers/
Natasha Lomas,Europe,"Rebooting the venerable Nokia smartphone brand has not been a rush job for HMD Global, the Foxconn-backed company set up for the purpose of licensing the Nokia name to try to revive the brand’s fortunes on smartphones.
But after starting with basic and mid-tier smartphones, it’s finally outted a flagship Android handset, called the Nokia 8, which it will be hoping can put some dents in Samsung’s high end. And/or pull consumers away from Huawei’s flagships handsets — or indeed the swathe of Chinese OEMs surging up the smartphone market share ranks.
With the Nokia 8, HMD is putting its flagship focus on content creators wanting to livestream video for their social feeds.
Competition in the Android OEM space has been fierce for years and there’s no signs of any slack appearing so HDM faces a steep challenge to make any kind of dent here. But at least it now has an iron in the fire. As analyst CCS Insight notes, the handset will be “hugely important in getting Nokia-branded smartphones back on the mobile phone map”.
Specs wise, the Nokia 8 runs the latest version of Android (Nougat 7.1.1) — which HMD is touting as a “pure Android experience”, akin to Google’s Pixel handsets. (There’s a not-so-gentle irony there, given Nokia’s history in smartphones. But clearly HMD is going full in on Android.)
On the hardware front, there’s a top end Qualcomm Snapdragon 835 processor, plus 4GB of RAM and 64GB of internal memory (expandable thanks to a MicroSD card slot). While the 5.3 inch Quad HD resolution display puts it on the verge of phablet territory — and squarely within the current smartphone screen size sweet spot.
Also on board: dual rear cameras, both 13MP (one color, one B&W), and a 13MP front facing lens — all with f/2.0; using Zeiss optics; and with support for 4K video.
The flagship camera feature — and really phone feature too — is the ability to livestream video from both front and back cameras simultaneously.
HMD is trying to coin a hashtaggable word to describe this: “bothie” (as opposed to a selfie)…
This split screen camera feature can also be used for photos — so they’ve basically reinvented Frontback. Well done.
“Content creators can natively broadcast their unique #Bothie stories to social media through the Dual-Sight functionality located within the camera app. Fans can also enjoy unlimited photo [<16MB in size] and video uploads to Google Photos,” HMD writes.
This could prove a sticky feature for social media lovers — perhaps especially the dual video option, which lets people share twin perspective video direct to Facebook and YouTube via the camera app.
Or it could prove a passing fad, like Frontback. Time will tell. CCS Insight describes it as an “interesting approach” but also cautions on whether consumers will take to it.
Commenting on the feature in a statement, HMD’s Juho Sarvikas, chief product officer, said: “We know that fans are creating and sharing live content more than ever before, with millions of photos and videos shared every minute on social media. People are inspired by the content they consume and are looking for new ways to create their own. It’s these people who have inspired us.”
Elsewhere on the device, there’s a spatial surround sound recording tech that uses three microphones and is apparently drawing on Nokia’s Ozo 360 camera division, plus USB type C charging port; a 3.5mm headphone jack; and a non-removable 3090 mAh battery.
The handset, which is clad in an aluminium unibody casing and has a fingerprint reader on the front for device unlocking and authentication, is described as splashproof rather than waterproof.
Global RRP for the Nokia 8 is €599, with a rollout due to start in September. The handset comes in a choice of four colors: Polished Blue, Polished Copper, Tempered Blue and Steel.
This post was updated with a correction: the display is Quad HD (2560 x 1440), not ultra HD as originally stated",2017-08-17,1527946,https://tctechcrunch2011.files.wordpress.com/2017/08/small-nokia-8-family-1.jpg?w=738,mobile/,"smartphones,nokia",Android newbie HMD’s Nokia 8 flagship lets you livestream ‘frontbacks’,,https://techcrunch.com/2017/08/17/android-newbie-hmds-nokia-8-flagship-lets-you-livestream-frontbacks/
Connie Loizos,eCommerce,"Two years ago, Ember launched a crowdfunding campaign on Indiegogo to build a mug that keeps hot drinks hot and iced drinks cool. Contributors gave the company nearly $362,000. Fast-forward and the five-year-old startup has now raised just north of $24 million altogether, including a $13 million Series C round that it quietly closed last week.
The individual investors supporting the company are undoubtedly encouraged by the progress it has been making since showing off its early product to the public. For one thing, Starbucks began selling the mugs in its stores across most of the U.S. and online for $149.95 back in November. The Westlake Village, Ca.-startup also sells its mugs on Amazon, where 186 customers have now assigned them a collective 3.5 stars out of five. (The biggest knock against the product by Ember’s customers: that its battery, which takes up to two hours to charge, doesn’t last terribly long. The company’s purported plans to develop a car charger might help on this front. )
Altogether, the company, whose mugs also can be purchased at its site, says it has sold more than 20,000 mugs so far. It has also inspired at least one new player, a company in Salt Lake City that recently turned to Kickstarter to raise funds for its own heated smart mug, called The Jül.
Ember isn’t breaking out who joined its most recent financing, though it has said in the past that its investors include StubHub CEO Scott Cutler, eBay chief product officer RJ Pitman, singers Demi Lovato and Drew Taggart of The Chainsmokers, and Robert Brunner, chief designer of Beats by Dre and the former head of design at Apple.
According to L.A. Biz, the company plans to use some of that fresh capital to expand its product set, including building a temperature-controlled baby bottle, chilled water bottles and dinner plates that can be made to stay warm.",2017-08-29,1531723,https://tctechcrunch2011.files.wordpress.com/2016/11/ember_mug_lady.jpg?w=738,gadgets/,ember,"Ember just raised $13 million for its popular, temperature-controlled mugs",indiegogo,https://techcrunch.com/2017/08/29/ember-just-raised-13-million-for-its-popular-temperature-controlled-mugs/
Devin Coldewey,Gadgets,"One of the many considerations we will have should we decide at last to colonize another planet is where we’ll live. Should we bring inflatable habitats? Should we ship girders and metal sheets? Or should we, as explored in a recent NASA challenge, 3D-print the structures right there on the planet in question? Two universities’ early efforts to do so earned them a combined $400,000 at a competition held last week.
It’s not the first nor last of these challenges, but the culmination of phase two of the three-phase 3D-Printed Habitat Challenge. The idea is to figure out what materials, designs and other choices might factor into creating a strong, simple structure.
Beams, cylinders and domes were what the teams had to create, with materials that were at least 70 percent “indigenous material” — so something that could be found locally. After all, you don’t want to have to ship a bunch of concrete mix to Phobos.
The winning teams both chose “powdery Crushed Basaltic Igneous” as their indigenous base; the team from Branch Technology augmented this with recycled plastic, while Penn State attempted (with partial success) to create a cement-like material that incorporated water.

Besides the materials chosen and basic dimensions of the items required, the teams were relatively unfettered. “The rules were formulated so that the teams could have freedom to formulate a solution with as much flexibility as possible,” explained a NASA representative who was part of the event. “Both solutions have their own advantages and disadvantages, and these diverse solutions can help NASA formulate that best solution.”
Giant 3D printers were used to create the items in question, after which they were graded on various measures and then crushed — sorry, “compressed to failure.” The Branch team’s dome handled an impressive 1,694 kilograms, or 373 lbs. Penn State’s collapsed under just below half of that — but the NASA rep pointed out that the cement-like mixture would have been far stronger had it been able to cure for another week or so.
This is both a strength and a weakness, exactly the kind of data NASA hoped to glean from the competition. As in the Cube Quest Challenge, the agency proudly advertises that it relies on the fertile imaginations of students and outsiders to augment its own expertise.
The Branch team took home $250,000 for its efforts, and Penn State was awarded $150,000. It’s not clear whether this also puts them in pole position for phase three of the challenge, which my otherwise informative NASA rep declined to enlarge upon. All we know is that it will focus on “fabrication of complete habitats,” which sounds about two orders of magnitude more difficult than phase two. You can keep up with the latest at the challenge’s website.",2017-08-29,1532682,https://tctechcrunch2011.files.wordpress.com/2017/08/nasahab-2.jpg?w=738,gadgets/,nasa,3D-printed space habitats earn $400K in prizes at NASA competition,3d-printing,https://techcrunch.com/2017/08/29/3d-printed-space-habitats-earn-400k-in-prizes-at-nasa-competition/
